hsa:10161	D00528
hsa:10800	D00411
hsa:10800	D01828
hsa:10800	D05129
hsa:11255	D00234
hsa:11255	D00300
hsa:11255	D00318
hsa:11255	D00494
hsa:11255	D02566
hsa:1128	D00113
hsa:1128	D00232
hsa:1128	D00274
hsa:1128	D00283
hsa:1128	D00397
hsa:1128	D00454
hsa:1128	D00465
hsa:1128	D00494
hsa:1128	D00524
hsa:1128	D00525
hsa:1128	D00540
hsa:1128	D00646
hsa:1128	D00715
hsa:1128	D00726
hsa:1128	D00779
hsa:1128	D01103
hsa:1128	D01118
hsa:1128	D01269
hsa:1128	D01297
hsa:1128	D01871
hsa:1128	D02070
hsa:1128	D02327
hsa:1128	D02354
hsa:1128	D02356
hsa:1128	D02361
hsa:1128	D03621
hsa:1128	D03858
hsa:1129	D00113
hsa:1129	D00232
hsa:1129	D00274
hsa:1129	D00283
hsa:1129	D00397
hsa:1129	D00454
hsa:1129	D00465
hsa:1129	D00494
hsa:1129	D00524
hsa:1129	D00540
hsa:1129	D00646
hsa:1129	D00760
hsa:1129	D00765
hsa:1129	D00779
hsa:1129	D01871
hsa:1129	D02070
hsa:1129	D02354
hsa:1129	D02356
hsa:1129	D02361
hsa:1129	D03621
hsa:1129	D03858
hsa:1131	D00113
hsa:1131	D00232
hsa:1131	D00454
hsa:1131	D00494
hsa:1131	D01699
hsa:1131	D01871
hsa:1131	D02070
hsa:1131	D02354
hsa:1131	D02361
hsa:1131	D03621
hsa:1131	D03654
hsa:1131	D03858
hsa:1132	D00113
hsa:1132	D00397
hsa:1132	D00454
hsa:1132	D00494
hsa:1132	D01871
hsa:1132	D02070
hsa:1132	D02354
hsa:1132	D02361
hsa:1133	D00113
hsa:1133	D00454
hsa:1133	D00494
hsa:1133	D01871
hsa:1133	D02070
hsa:1133	D02354
hsa:1133	D02361
hsa:1234	D03210
hsa:1241	D00411
hsa:1268	D00306
hsa:134	D00227
hsa:134	D00332
hsa:134	D00528
hsa:134	D01712
hsa:134	D02884
hsa:135	D00227
hsa:135	D00528
hsa:135	D01712
hsa:135	D02884
hsa:136	D00371
hsa:136	D00528
hsa:136	D04006
hsa:140	D00227
hsa:140	D00528
hsa:146	D00255
hsa:146	D00281
hsa:146	D00283
hsa:146	D00426
hsa:146	D00437
hsa:146	D00454
hsa:146	D00509
hsa:146	D00513
hsa:146	D00604
hsa:146	D00607
hsa:146	D00609
hsa:146	D00996
hsa:146	D01020
hsa:146	D01022
hsa:146	D01024
hsa:146	D01051
hsa:146	D01358
hsa:146	D01603
hsa:146	D01713
hsa:146	D01965
hsa:146	D02149
hsa:146	D02234
hsa:146	D02237
hsa:146	D02356
hsa:146	D02361
